date,volume,consumption,trueConsumption,valid
2020-12-31,3800.0,0,0,True
2021-01-01,3660.0,0.14,0,True
2021-01-02,3570.0,0.1,0,True
2021-01-03,3420.0,0.15,0,True
2021-01-04,3300.0,0.12,0,True
2021-01-05,3180.0,0.12,0,True
2021-01-06,3050.0,0.13,0,True
2021-01-07,2950.0,0.1,0,True
2021-01-08,2790.0,0.16,0,True
2021-01-09,2650.0,0.14,0,True
2021-01-10,2460.0,0.19,0,True
2021-01-11,2250.0,0.21,0,True
2021-01-12,1990.0,0.26,0,True
2021-01-13,1790.0,0.2,0,True
2021-01-14,6550.0,-4.76,0,False
2021-01-15,11420.0,-4.87,0,False
2021-01-16,11170.0,0.25,0,True
2021-01-17,10900.0,0.27,0,True
2021-01-18,10770.0,0.13,0,True
2021-01-19,10520.0,0.25,0,True
2021-01-20,10320.0,0.2,0,True
2021-01-21,10190.0,0.13,0,True
2021-01-22,10070.0,0.12,0,True
2021-01-23,9960.0,0.11,0,True
2021-01-24,9850.0,0.11,0,True
2021-01-25,9740.0,0.11,0,True
2021-01-26,9630.0,0.11,0,True
2021-01-27,9440.0,0.2,0,True
2021-01-28,9230.0,0.2,0,True
2021-01-29,9090.0,0.15,0,True
2021-01-30,8970.0,0.12,0,True
2021-01-31,8850.0,0.12,0,True
2021-02-01,8650.0,0.2,0,True
2021-02-02,8510.0,0.14,0,True
2021-02-03,8380.0,0.13,0,True
2021-02-04,8300.0,0.07,0,True
2021-02-05,8200.0,0.1,0,True
2021-02-06,8090.0,0.12,0,True
2021-02-07,7950.0,0.14,0,True
2021-02-08,7880.0,0.07,0,True
2021-02-09,7760.0,0.12,0,True
2021-02-10,7640.0,0.12,0,True
2021-02-11,7530.0,0.11,0,True
2021-02-12,7400.0,0.13,0,True
2021-02-13,7210.0,0.19,0,True
2021-02-14,7000.0,0.22,0,True
2021-02-15,6720.0,0.27,0,True
2021-02-16,6230.0,0.49,0,True
2021-02-17,6070.0,0.17,0,True
2021-02-18,5950.0,0.12,0,True
2021-02-19,5830.0,0.12,0,True
2021-02-20,5740.0,0.09,0,True
2021-02-21,5630.0,0.1,0,True
2021-02-22,5540.0,0.09,0,True
2021-02-23,5500.0,0.04,0,True
2021-02-24,5410.0,0.09,0,True
2021-02-25,5270.0,0.14,0,True
2021-02-26,5140.0,0.13,0,True
2021-02-27,5090.0,0.06,0,True
2021-02-28,5020.0,0.07,0,True
2021-03-01,4890.0,0.13,0,True
2021-03-02,4800.0,0.09,0,True
2021-03-03,4670.0,0.13,0,True
2021-03-04,4540.0,0.13,0,True
2021-03-05,4480.0,0.06,0,True
2021-03-06,4410.0,0.06,0,True
2021-03-07,4240.0,0.18,0,True
2021-03-08,4130.0,0.11,0,True
2021-03-09,4030.0000000000005,0.1,0,True
2021-03-10,3910.0,0.11,0,True
2021-03-11,3800.0,0.11,0,True
2021-03-12,3720.0,0.08,0,True
2021-03-13,3630.0,0.08,0,True
2021-03-14,3580.0,0.06,0,True
2021-03-15,3460.0,0.12,0,True
2021-03-16,3380.0,0.07,0,True
2021-03-17,3270.0,0.11,0,True
2021-03-18,3170.0,0.1,0,True
2021-03-19,3060.0,0.11,0,True
2021-03-20,2930.0,0.13,0,True
2021-03-21,2790.0,0.14,0,True
2021-03-22,2660.0,0.13,0,True
2021-03-23,2550.0,0.11,0,True
2021-03-24,2470.0,0.08,0,True
2021-03-25,2380.0,0.09,0,True
2021-03-26,2290.0,0.09,0,True
2021-03-27,2230.0,0.06,0,True
2021-03-28,2160.0,0.06,0,True
2021-03-29,2090.0,0.08,0,True
2021-03-30,2009.9999999999998,0.08,0,True
2021-03-31,1940.0,0.07,0,True
2021-04-01,1860.0,0.07,0,True
2021-04-02,1810.0,0.06,0,True
2021-04-03,1760.0,0.04,0,True
2021-04-04,1680.0,0.08,0,True
2021-04-05,1560.0,0.12,0,True
2021-04-06,1480.0,0.08,0,True
2021-04-07,1380.0,0.1,0,True
2021-04-08,1300.0,0.09,0,True
2021-04-09,1180.0,0.11,0,True
2021-04-10,1100.0,0.08,0,True
2021-04-11,1030.0,0.07,0,True
2021-04-12,2600.0,-1.58,0,True
2021-04-13,3820.0,-1.21,0,True
2021-04-14,3710.0,0.11,0,True
2021-04-15,3610.0,0.1,0,True
2021-04-16,3510.0,0.1,0,True
2021-04-17,3410.0,0.1,0,True
2021-04-18,3310.0,0.1,0,True
2021-04-19,3230.0,0.09,0,True
2021-04-20,3150.0,0.08,0,True
2021-04-21,3070.0,0.08,0,True
2021-04-22,3000.0,0.07,0,True
2021-04-23,2960.0,0.04,0,True
2021-04-24,2890.0,0.07,0,True
2021-04-25,2800.0,0.09,0,True
2021-04-26,2730.0,0.07,0,True
2021-04-27,2630.0,0.1,0,True
2021-04-28,2540.0,0.09,0,True
2021-04-29,2460.0,0.07,0,True
2021-04-30,2430.0,0.03,0,True
2021-05-01,2370.0,0.06,0,True
2021-05-02,2330.0,0.04,0,True
2021-05-03,2290.0,0.04,0,True
2021-05-04,2200.0,0.09,0,True
2021-05-05,2140.0,0.06,0,True
2021-05-06,2100.0,0.04,0,True
2021-05-07,2020.0,0.08,0,True
2021-05-08,1970.0,0.04,0,True
2021-05-09,1890.0,0.08,0,True
2021-05-10,1830.0,0.06,0,True
2021-05-11,1810.0,0.02,0,True
2021-05-12,1790.0,0.02,0,True
2021-05-13,1720.0,0.07,0,True
2021-05-14,1710.0,0.01,0,True
2021-05-15,1670.0,0.04,0,True
2021-05-16,1630.0,0.04,0,True
2021-05-17,1630.0,0.0,0,True
2021-05-18,1600.0,0.03,0,True
2021-05-19,1580.0,0.02,0,True
2021-05-20,1530.0,0.04,0,True
2021-05-21,1460.0,0.07,0,True
2021-05-22,1410.0,0.05,0,True
2021-05-23,1370.0,0.04,0,True
2021-05-24,1320.0,0.06,0,True
2021-05-25,1260.0,0.06,0,True
2021-05-26,1190.0,0.07,0,True
2021-05-27,1130.0,0.06,0,True
2021-05-28,2390.0,-1.26,0,True
2021-05-29,2980.0,-0.59,0,True
2021-05-30,2940.0,0.04,0,True
2021-05-31,2880.0,0.06,0,True
